id_x,name_x,countryId,bestStartingGridPosition,bestRaceResult,totalRaceEntries,totalRaceStarts,totalRaceWins,totalRaceLaps,totalPodiums,totalPodiumRaces,totalPolePositions,totalFastestLaps,name_y,Coordinates
avon,Avon,united-kingdom,2,5,32,28,0,2961,0,0,0,0,United Kingdom,"54.7023545,-3.2765753"
bridgestone,Bridgestone,japan,1,1,244,244,175,173435,482,209,168,170,Japan,"36.5748441,139.2394179"
continental,Continental,germany,1,1,13,13,10,2232,18,11,8,9,Germany,"51.1638175,10.4478313"
dunlop,Dunlop,united-kingdom,1,1,177,175,84,84697,241,104,77,83,United Kingdom,"54.7023545,-3.2765753"
englebert,Englebert,belgium,1,1,60,60,8,11015,40,26,11,12,Belgium,"50.6402809,4.6667145"
firestone,Firestone,united-states-of-america,1,1,122,122,48,96610,138,77,59,52,United States of America,"39.7837304,-100.445882"
goodyear,Goodyear,united-states-of-america,1,1,493,493,368,376316,1139,459,358,363,United States of America,"39.7837304,-100.445882"
michelin,Michelin,france,1,1,217,215,102,99137,317,179,111,108,France,"46.603354,1.8883335"
pirelli,Pirelli,italy,1,1,489,484,328,376860,993,354,331,341,Italy,"42.6384261,12.674297"
